,Unnamed: 0,video_title
669,669,아미 이어 이번에는 버니즈 나섰다…하이브서 “뉴진스 지지” 경영진 갈등→혜인 부상까지.. 악재에도 뉴진스 컴백 준비 이상 無 #newjeans
670,670,[안방1열 풀캠4K] 뉴진스 'New Jeans' (NewJeans FullCam)│@SBS Inkigayo 230716
671,671,"NEW JEANS 뉴진스, 근정전 티저 촬영 메이킹 현장 공개"
672,672,진짜가 나타났다..❗️뉴진스 담당쌤이 알려주는 ✨진짜✨ 뉴진스st 메이크업 + 어디에서 볼 수 없는 꿀팁❤️ :: Real NewJeans Makeup
673,673,"뉴진스, 칸예, 지디도 팬 인증! 30년째 가장 잘 팔리는 예술가 '무라카미 다카시' 이야기"
674,674,NewJeans I LG gram : 그램Style 뉴진스 리미티드 에디션 출시 기념 '아름다워' Official M/V
675,675,뉴진스 Attention 뮤비 표절
676,676,[페이스캠4K] 뉴진스 해린 'Cookie' (NewJeans HAERIN FaceCam) @SBS Inkigayo 220807
677,677,[K-Fancam] 뉴진스 하니 직캠 'Ditto' (NewJeans HANNI Fancam) l @MusicBank 230120
678,678,뉴진스 최고의 곡은..
679,679,"[이슈플러스] 하이브·민희진 법정공방...""뉴진스 차별"" vs ""사익 위해 이용"" / YTN"
680,680,"뉴진스, 탄원서로 첫 입장 표명...방시혁 ""민희진, 악의적 행동"" / YTN"
681,681,"핑크퐁VS아기상어, 뉴진스의 새 멤버는 누가 될까? | 뉴진스가 직접 알려주는 Attention(어텐션) 안무 포인트 | 뉴진스의 댄스클래스(4K) | 핑크퐁 Dance Alive"
682,682,[안방1열 직캠4K] 뉴진스 하니 'Cookie' (NewJeans HANNI FanCam) @SBS Inkigayo 220807
683,683,법원에 탄원서 낸 뉴진스 멤버들 #Shorts (MBC뉴스)
684,684,"2022 AKARAKA 아카라카 뉴진스 New Jeans Full? ver. 민지야 사랑해....Attention, Cookie, Hurt, Hype boy ✨VIP 1열시점✨"
685,685,NewJeans (뉴진스) 'Ditto' Dance Practice
686,686,"뉴진스 1위곡 vs 2위곡, 여러분의 선택은? #뉴진스 #newjeans #쇼츠 #shorts"
687,687,"NewJeans 뉴진스 2022 MMA (Cookie + Hype boy + Attention) Stage Reaction ( IVE, STAYC, ATBO, 임영웅, 멜로망스)"
688,688,"[자막뉴스] 김호중, 사고 전 유흥주점 갔다...새 녹취 터지자 소속사가 낸 입장 / YTN"
689,689,[Light Jeans] NewJeans in Singapore with Nike🌴 | NewJeans
690,690,[Jeans' ZINE] 우밤당낮 아케이드 EP.2 아무도 못 이김 👽🖍️🛞 | NewJeans
691,691,‘이거 진짜야?’ 순식간에 모든 게 사라졌다..최악의 공포 덮친 美 [세계는 날리지]
692,692,"[뉴진스] 실시간 충격 뉴진스 ""계약해지 전문변호사 선임"" (""New Jeans"" prepares a lawsuit to terminate contract with HYBE)"
693,693,뉴진스[NewJeans] 대선배라 불리는 일본 걸그룹
694,694,뉴진스(NewJeans)만 보면 하트💖가 튀어나와~ 귀엽고 사랑스런 뉴깅이들 하고 싶은 거 다해~요약ZIP EP.1(SUB)ㅣ#뉴진스코드in부산 #뉴진스컴백축하해
695,695,[ENG]최초공개! #뉴진스 혜인의 가방 속을 처음 공개합니다. 혜인이가 좋아하는 최애 키링들부터 민지 언니에게 선물 받은 아이템까지. 귀염막둥이의 가방 속에는 무엇이?
696,696,하이브 - 민희진 법정서 정면충돌…뉴진스 놓고 감정싸움 / 연합뉴스TV (YonhapnewsTV)
697,697,"하이브, 뉴진스 긴 휴가 제안 폭로한 엄마 (+삼프티)"
698,698,아일릿 멤버가 뉴진스 안티글을 보다가 실수했다고?
699,699,뉴진스 노래모음 (가사포함) | NewJeans Playlist (Korean Lyrics)
700,700,"[단독]김호중, 사고 직전 유흥주점 들렀다 | 뉴스A"
701,701,1부 뉴진스 지켜 2부 자전거 쇼핑 3부 흑자명화
702,702,[Light Jeans] Billboard Women In Music Photoshoot Behind🌷 | NewJeans
703,703,"하이브-민희진 첫 법정 다툼... ""뉴진스 가스라이팅"" vs""차별 대우"" [이슈PLAY] / JTBC News"
704,704,250과 FRNK가 프로듀싱한 아이돌 노래라고?! | NewJeans (뉴진스) - New Jeans [FULL ALBUM]
705,705,"하이브 - 민희진 법정공방…""뉴진스 차별"" vs ""가스라이팅"" / 연합뉴스TV (YonhapnewsTV)"
706,706,NewJeans (뉴진스) 'OMG' MV Reaction
707,707,A film by NewJeans 🎬 출연: 뉴진스 / 촬영: 뉴진스 / 편집: 뉴진스 #NewJeans #뉴진스 #NewJeans_OMG #NewJeans_Ditto
708,708,[OPEN 인터뷰]뉴진스 뛰어넘는 대형 신인(?)…JYP 가르침 받고 이렇게 컸다! | 뉴스A
709,709,[이슈 직진] 뉴진스 멤버 전원 탄원서...법원이 누구 손 들어줄까? #shorts #뉴스센터 | MBN 240518 방송
710,710,'뉴진스 맘' 민희진 대표 아닌 현실 부모님들의 이야기를 들어보자 (맴찢) #shorts #뉴진스 #방시혁
711,711,뉴진스의 신곡 Supernatural 작사•작곡에 참여한 퍼렐 윌리엄스(Pharrell williams)
712,712,"[뉴스 '꾹'] ""한가인 씨에 죄송"" 폭발한 PD들..""방송재개 안 되면 강경투쟁"" (2024.05.14/MBC뉴스)"
713,713,OMG step challenge 🅾️❎ #NewJeans #뉴진스 #NewJeans_OMG #NewJeans_Ditto#Year_of_NewJeans
714,714,NewJeans (뉴진스) The 37th GOLDEN DISC AWARDS Dance Practice
715,715,[자막뉴스] 눈부신 K팝 이면엔...고스란히 드러난 민낯 / YTN
716,716,"[이슈] 하이브-민희진, ‘대표 해임’가처분 오늘 심문/Min Heejin having a court hearing against HYBE/2024년 5월17일(금)/KBS"
717,717,"민희진 ""외부 투자 제안?…투자와 무관한 사적인 자리"" / SBS / 굿모닝연예"
718,718,민희진 운명의 날…가처분 심문｜지금 이 장면
719,719,keep calm and OMG❤️‍🔥 #NewJeans #뉴진스 #NewJeans_OMG #NewJeans_Ditto #Year_of_NewJeans
720,720,"[이슈] 엄빠 전쟁에도…뉴진스, 신곡 뮤비 ‘1000만뷰’ 대박 / 뉴진스, ‘Bubble Gum’ 뮤비 공개…뉴진스 감성 ‘몽글몽글’ 24.04.28 | MBN NEWS"
721,721,New Jeans(뉴진스) - Bubble Gum (cover)
722,722,뉴진스 다니엘 X 하니 - 정말 사랑했을까 | 브라운 아이드 소울 | AI Cover
723,723,"뉴진스 결국 법정으로? 멤버 전원, 탄원서 냈다 | 이슈픽 zip"
724,724,[단독]김호중 뺑소니 입건…사라진 블랙박스 메모리카드 | 뉴스A
725,725,2024 미스춘향 (진) 미모의 김정윤님 뉴진스(NewJeans) Super Shy 무대
726,726,"검찰 향해 역정낸 김성태 ""우리가 봉이냐고, 정치인한텐 말도 못하는 것들이""…징역 3년 6개월 구형 받고 한 말 (현장영상) / SBS"
727,727,뉴진스를 보는 각종 커뮤니티 반응
728,728,한국을 사랑하는 뉴진스
729,729,민희진.. 뉴진스 개ㅆ욕 카톡내용 🤦‍♀️ | 뉴진스 맘이라더니 이게 현실 | 감성팔이만 하면 선동되는 대한민국
730,730,"""어서와~ 불교 EDM은 처음이지?""... 조계종도 뉴진스님 대환영 #shorts / 연합뉴스TV (YonhapnewsTV)"
731,731,[오늘세계는] 이슬람 국가 말레이시아가 뉴진스님 입국 금지한 속사정은? -구정은 국제전문기자ㅣKBS 240517 방송
732,732,[뉴진스] 하니가 고른 뉴진스 최고의 무대는?
733,733,"#뉴진스, KBS '2024 코리아 온 스테이지' 경복궁 근정전 메이킹 필름 공개 | KBS 2024 Korea On Stage, NewJeans Making Film"
734,734,"#뉴진스 이 정도면 국가유산! (KBS 2024 Korea On Stage, NewJeans stage making)"
735,735,뉴진스 좋아 버블검 좋아🫧💙 #newjeans #뉴진스 #bubblegum #버블검 #cover #kpop #kpopcover #음악 #노래 #노래추천 #플레이리스트 #커버
736,736,뉴진스 하니(Hanni) - 가끔 난 날 안 믿어(Nothing Matters) / 씨잼(C JAMM) [AI COVER]
737,737,[뉴진스] 욕심쟁이 다람쥐
738,738,"부처님 오신 날, 뉴진스님 보고 극락가소서🤩"
739,739,자기 파트에 딴짓하는 뉴진스 하니 논란
740,740,하이브 vs 민희진 싸움에 뉴진스 등 터지다...
741,741,뉴진스 감독 입장 밝혔다
742,742,"법정서 맞붙은 하이브·민희진 측…""차별 대우""·""가스라이팅"" / SBS / #D리포트"
743,743,뉴진스 하니(Hanni) - 끽 (feat. 민지) / 씨잼(C JAMM) (feat. Yescoba) [AI COVER]
744,744,"뉴진스, 걸그룹 최초 경복궁 근정전 앞에서 공연 / 연합뉴스TV (YonhapnewsTV)"
745,745,[버니즈로그] NewJeans👖💙덕질로그 뉴진스 다니엘 & 혜인 & 해린 & 민지 & 캣닢즈 생일 카페 투어 브이로그
746,746,민희진 대표 뉴진스 험담 카톡 내역 공개 [사실이라면 법적으로 불리해질 가능성이 농후하다] #shorts
747,747,뉴진스 하니 - 넌 쉽게 말했지만 | 윤상 | AI Cover
748,748,발소리만 듣고 뉴진스 안무 맞추기 가능?? #NEWJEANS #shorts
749,749,뉴진스 하니(Hanni) - 끽 (feat. 민지) / 씨잼(C JAMM) (feat. Yescoba) [AI COVER] #shorts
750,750,1시간-뉴진스(Newjeans) - Bubble Gum(2024.4.27.)-가사(Lyrics)
751,751,뉴진스 하니(Hanni) - 가끔 난 날 안 믿어(Nothing Matters) / 씨잼(C JAMM) [AI COVER] #shorts
752,752,뉴진스 하니가 작작년에 받은 것은?
753,753,"방시혁 하이브 아티스트 SNS 차별논란, 왜 뉴진스만 없을까? #shorts #르세라핌 #뉴진스"
754,754,버니즈는 다 알아야 하는 뉴진스 해린의 숨은 매력 포인트 #버니즈 #뉴진스 #해린 #앞니 #총생
755,755,팜르렁 #뉴진스 #하니 #해린 #혜인 #Newjeans 🎥 [Jeans' ZINE] 조금 이른 봄놀이 EP.2 비가 와도 직진 직진🛶 ｜ NewJeans
756,756,'부처핸섬' 인기 얻고 밈도 섭렵…젊어진 부처님오신날 [굿모닝 MBN]
757,757,(나의체) 인어공주 한글버전 가사 써보기 (뉴진스 다니엘 버전) #kpop #Danielle #뉴진스 #다니엘
758,758,|하남댄스학원| NewJeans (뉴진스) 'Cookie' |걸스힙합| |BUZZER BEATER DANCE| (하남미사댄스학원)
759,759,4명만 나온다고 활동 중단 컴백 함께하지 않아 뉴진스 멤버
760,760,[뉴진스 하니&해린&혜인] 욕심쟁이 다람쥐 🐿
761,761,뉴진스 멤버 5명 법원에 탄원서...
762,762,뉴진스 민지-Strawberries & Cigarettes(Troy sivan) AI cover
763,763,뉴진스의 건강관리 비결 풍선껌 'Bubble Gum' #shorts#할명수#박명수
764,764,NewJeans (뉴진스) ‘Bubble Gum’ (dese Remix)
765,765,NCT U 엔시티 유 'Baggy Jeans' MV
766,766,"[뉴스초점] 김호중 ""진실 밝혀질 것"" 첫 입장…오늘도 공연 강행 / 연합뉴스TV (YonhapnewsTV)"
767,767,뉴진스 뮤비에 늘 함께했던 아이템이 있다고?
768,768,뉴진스 해린(Haerin) - 애상 / 쿨(COOL) [AI COVER] #shorts
769,769,뉴진스 해린- 그러는 그대는 (IU) AI COVER
770,770,Bubble Gum - NewJeans(뉴진스) (cover)
771,771,"3년 연속 5·18 기념식 찾은 尹‥ ""오월 정신, 자유민주주의 꽃"" - [풀영상] MBC 뉴스데스크 2024년 05월 18일"
772,772,𝗣𝗹𝗮𝘆𝗹𝗶𝘀𝘁 • 소녀들의 취향을 가득 담아 | 뉴진스의 추천곡 NewJeans
773,773,🌟스톤헨지X뉴진스 AR필터🌟 #stonehenge #newjeans #selfie
774,774,레고로 만든 뉴진스 버블껌 #뉴진스 #newjeans #버블검 #bubblegum #뮤직비디오 #레고스톱모션
775,775,코리아 온 스테이지 경복궁 근정전 뉴진스 티저 메이킹 영상ㅣ#newjeans #뉴진스 #경복궁 #근정전
776,776,"""떨어졌을 때 들어가야""...미국 증시 투자 전략[염블리의 비밀노트/5월 3주차 ②]"
777,777,뉴진스가 아이브때매 망한 이유 TOP7
778,778,"[뉴스포커스] 김호중 ""음주운전 한 것 맞다""…입장 변화 이유는? / 연합뉴스TV (YonhapnewsTV)"
779,779,"[다시보기] 뉴스룸｜""윤 대통령 임기부터 1년 줄이자"" 조국이 쏘아올린 '개헌론' (24.5.17) / JTBC News"
780,780,"MBN 뉴스센터 [다시보기] 윤 대통령 5·18 기념식 3년 연속 참석…""풍요로운 미래가 오월 정신의 계승"" - 2024.5.18 방송"
781,781,"[핫클릭] 뉴진스, 걸그룹 최초 경복궁 근정전 공연 外 / 연합뉴스TV (YonhapnewsTV)"
782,782,킬포가 너무 많은 버블검 뮤비 #뉴진스 #민지 #하니 #다니엘 #해린 #혜인 #버니즈 #팜니쥬 #PhamneedU #PNU #NJS #newjeans
783,783,NCT U (엔시티 유) - Baggy Jeans | Show! MusicCore | MBC230902방송
784,784,왜.. 물어본거야? #뉴진스 #민지 #혜인 #Newjeans 🎥 [ENG SUB] 기분이 나쁠 땐？ 뉴진스를 보세요😉👈🏻 ｜ 아이돌 인간극장
785,785,NewJeans (뉴진스) 'Lie' (AI)
786,786,"트로트 가수 김호중, 뺑소니 후 운전자 바꿔치기 의혹 [아침&매일경제]"
787,787,[😡뒤질래]민희진 뉴진스 이를 추종하는 짐승들 _ 살포시 즈려밟고 나락가자/구제불능이다
788,788,[1시간] NewJeans (뉴진스) 'Bubble Gum' / 𝑝𝑙𝑎𝑦𝑙𝑖𝑠𝑡🫧
789,789,[Playlist] New jeans 앨범 몰아듣기
790,790,뉴진스 해린 강해린 신기한 윙크 모음
791,791,새벽까지 버니즈에게 노래해준 팜하니
792,792,Bubble Gum (New Jeans) / 뉴진스 / Lily Sue
793,793,뉴진스 해린 강해린 신기한 윙크 모음
794,794,뉴진스 이번 신곡 레전드다ㅠ#뉴진스#bubble gum#하루한끼#shorts
795,795,불교가 이럴 줄은.. 뉴진스님에 난리난 이유 [shorts]
796,796,민지언니 해줘 #Hanni #ハニ #NewJeans
797,797,고통을 이겨내면 '극락왕생' #shorts / YTN
798,798,"[가사ASMR] 뉴진스, Bubble Gum / New Jeans' Bubble Gum"
799,799,[Light Jeans] 2024 New Year’s Rockin’ Eve Behind🎆 | NewJeans
800,800,"[다시보기] 뉴스룸｜경찰, 순직 채상병 상관 대질조사…""해병대 수사문건에 상급 부대 지침"" (24.5.19) / JTBC News"
801,801,"[이슈 직진] ""외쳐! 부처핸섬!"" 젊은 세대 사로잡은 '힙한 불교' #shorts #뉴스7 | MBN 240515 방송"
802,802,NewJeans (뉴진스) 'Get Up (Full Version/AI COVER)' Official MV @sanathathoe
803,803,2일차 버니즈의 뉴진스 포카 챌린지! 최애부터 오애까지 맞춰보세요! #뉴진스 #하니 #민지 #해린 #혜인 #다니엘
804,804,뉴진스 해린 앗 네
805,805,[쩜상 시크릿] 불타오르는 음식료주 이제 시작 ! 전선 랠리 고점은 언제까지???? #삼양식품 #ls에코에너지
806,806,'최초 공개' NCT U - Intro + Baggy Jeans #엠카운트다운 EP.812 | Mnet 230831 방송
807,807,마침내 바다를 벗어난 다니에리얼
808,808,NewJeans (뉴진스) 'Gray' (AI)
809,809,제 방 페인트칠 중 3시간 넘게 걸렸어여ㅠ #newjeans #뉴진스 #버니즈#떡상떡상떡상
810,810,"난 행운아야 정말로 I know, I know (최종 ver.)"
811,811,𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 내가 들으려고 만든 뉴진스 노래모음 (1Hour Loop)
812,812,"[에디터픽] 김호중 ""술잔에 입 댔지만 안 마셨다""..검찰총장 대행 출신 변호사 선임 / YTN"
813,813,"[이슈 Pick? Pick!] 3년 연속 5·18 기념식 찾은 尹‥""오월 정신, 자유민주주의 꽃"" (2024.05.18)"
814,814,뉴진스(NewJeans) 노래모음 플레이리스트 [NewJeans PLAYLIST] (신곡포함)
815,815,[1 HOUR] NewJeans (뉴진스) 'Bubble Gum' Lyrics (뉴진스 Bubble Gum 가사) [Color Coded Han_Rom_Eng]
816,816,"[오늘세계는] 풀영상 - 중-러 정상, 회담에서 협력 강화키로 + 클럽에서 공연하는 뉴진스님, 입국 금지 호소한 말레이시아 속사정 外ㅣKBS 240517 방송"
817,817,[미리보는오늘] 박정훈 전 해병대수사단장 4차 공판...'민희진·하이브' 의결권 행사금지... / YTN
818,818,🔴 다시 보는 주간 '조회수HOT' - 2024년 5월 19일 / SBS
819,819,뉴진스 - Ditto (1시간) / 가사 Lyrics
820,820,NewJeans 'Bubble Gum' Lyrics (Color Coded Lyrics Eng/Rom/Han)
821,821,"김호중 뺑소니 논란, 일파만파...하이브-민희진 사태 분수령 / YTN"
822,822,뉴진스 노래모음 (가사포함) | NewJeans Playlist (Korean Lyrics)
823,823,[자막뉴스] ＂부처핸섬!＂ 젊어진 부처님 오신 날 풍경 어땠나? | 이슈픽
824,824,김주하 AI 앵커가 전하는 5월 17일 MBN 뉴스7 주요뉴스
825,825,'K팝 위상' 상징된 대기업 하이브...변화와 과제는? / YTN
826,826,newjeans - bubble gum (cover)
827,827,🎧SIMO의 첫 야외촬영기🎧 NewJeans - Bubble Gum
828,828,【NewJeans】[8K HBR] Be Who You Are @Music Video
829,829,[포인트뉴스] 경찰서 바로 옆에 유령회사…100억대 대출사기 일당 검거 外 / 연합뉴스TV (YonhapnewsTV)
830,830,"흔한 일반인이 직접 부른 “NewJeans - Bubble Gum"" 🫧 #cover #vocal #newjeans #hybe #kpop #covervocal"
831,831,[𝗡𝗲𝘄𝗝𝗲𝗮𝗻𝘀 𝗣𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 뉴진스 노래 모음🐰 (전곡 | All Songs)
832,832,뉴진스의 버블검
833,833,"다가오는 여름을 기다리며 듣는 재즈플리🏖️ SUMMER JAZZ l Jazz Piano Music for Cafe Study, Work, Focus💕"
834,834,어서오세요🙋🏻주문하신 재즈 한 잔 나왔습니다🥤카페 림림에서 들을 수 있는 재즈플리💕 l Coffee&Jazz l Relaxing Jazz Piano Music for Cafe
835,835,*70만 기념* 깜짝 라이브 놀러오세용:)
836,836,𝗧𝘂𝗲𝘀𝗱𝗮𝘆 𝗝𝗮𝘇𝘇 | 출근해서 틀어놓으면 하루 뚝딱..! 퇴근이 빨리 다가오는 재즈플리😀 | Tuesday Jazz Playlist
837,837,쁘띠 마망
838,838,마음이 안정되고 기분 좋아지는 음악🌲하루10분 만병을 치료 해주는 힐링 명상 기치료 음악 및 영상 - 아침음악 - 힐링음악 - 명상음악 - 스트레스해소음악
839,839,[뉴진스] (1시간) 하니 Best Part 커버 [가사해석/ 번역/ 자막]
840,840,Karaoke!
841,841,"💻일할 때 듣기 좋은 재즈플레이리스트🥰 l Relaxing Jazz Piano Music for Study, Work, Focus"
842,842,뉴욕의 연인들 (2011)
843,843,"Playlist: 아침에 듣기 좋은 상쾌한 팝송 모음 🍀 도입부 부터 좋은, 적당히 리듬타는 노래 모음"
844,844,"'채상병 특검법' 거부권 건의‥ 야 ""강력 규탄"" - [LIVE] MBC 뉴스외전 2024년 05월 21일"
845,845,민지 걱정하는 팜 #뉴진스 #민지 #하니 #다니엘 #해린 #혜인 #버니즈 #팜니쥬 #PhamneedU
846,846,(New Jeans) 뉴진스 다니엘 입덕모음.zip2📂
847,847,해린은 어떻게 뉴진스 대표 춤꾼이 되었을까?
848,848,슈가 앤 스타
849,849,MIN HEEJIN WILD SHOCKING KAKAO CHAT (ALLEGEDLY) ABOUT NEWJEANS & BUNNIES NEWJEANS에 대한 충격적인 카카오톡 채팅
